CH,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,,CH,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,Cons
coal,7508.896478,5163.892456,2890.249089,1133.692662,11263.24603,11518.9963,14722.95877,59124.71558,43821.61773,79733.95681,2731.175492,823.9660582,3270.366912,1356.850726,5629.952287,250694.5334,3372.932572,62736.63214,1010.67215,192341.506,-61725.95999,,coal,7.508896478,5.163892456,2.890249089,1.133692662,11.26324603,11.5189963,14.72295877,59.12471558,43.82161773,79.73395681,2.731175492,0.823966058,3.270366912,1.356850726,5.629952287,250.6945334,3.372932572,62.73663214,1.01067215,192.341506,-61.72595999,254.067466
crude,1675.92863,1152.541553,645.0816323,0,2513.870919,971.3481044,219701.2084,17827.66261,822.5306385,100.8379784,0,54.45112661,0.064959006,9.936798252,18.34449357,245493.8078,0,114971.0856,1751.155092,132273.8773,-113219.9305,,crude,1.67592863,1.152541553,0.645081632,0,2.513870919,0.971348104,219.7012084,17.82766261,0.822530638,0.100837978,0,0.054451127,6.4959E-05,0.009936798,0.018344494,245.4938078,0,114.9710856,1.751155092,132.2738773,-113.2199305,245.4938078
natgas,1185.519271,815.2854466,456.3181824,84.21651193,1778.263325,2672.982518,464.9916256,47719.77648,5583.93584,28874.34139,0,1507.77176,3504.436088,275.1536051,507.9657866,95430.95783,1416.718846,24608.24017,1794.72605,74034.16256,-22813.51412,,natgas,1.185519271,0.815285447,0.456318182,0.084216512,1.778263325,2.672982518,0.464991626,47.71977648,5.58393584,28.87434139,0,1.50777176,3.504436088,0.275153605,0.507965787,95.43095783,1.416718846,24.60824017,1.79472605,74.03416256,-22.81351412,96.84767667
agr,487.701635,335.3939958,187.7212198,177808.7296,731.5460426,592505.4389,7.802206457,47279.97506,6463.417142,16.30533097,9598.000433,47092.2388,9869.260711,6377.307145,6431.850257,905192.6884,410164.3753,72058.59893,17751.82797,1261050.293,-54306.77096,,agr,0.487701635,0.335393996,0.18772122,177.8087296,0.731546043,592.5054389,0.007802206,47.27997506,6.463417142,0.016305331,9.598000433,47.0922388,9.869260711,6.377307145,6.431850257,905.1926884,410.1643753,72.05859893,17.75182797,1261.050293,-54.30677096,1315.357064
mine,6573.900873,4520.892947,2530.359963,182.4459087,9860.764909,770.9827049,1542.616542,79276.18316,280160.8785,2574.35602,35176.07648,3.981568075,1192.595245,882.2082084,811.028042,426059.271,8788.611881,152168.2681,5830.116174,288509.731,-146338.1519,,mine,6.573900873,4.520892947,2.530359963,0.182445909,9.860764909,0.770982705,1.542616542,79.27618316,280.1608785,2.57435602,35.17607648,0.003981568,1.192595245,0.882208208,0.811028042,426.059271,8.788611881,152.1682681,5.830116174,288.509731,-146.3381519,434.8478829
man1,3421.679166,2353.099857,1317.038412,132546.955,5132.473777,1064253.588,2828.788907,109160.0993,152834.9382,9613.874732,90028.78692,167888.5343,20117.67112,78950.9482,123258.0336,1963706.51,686718.9165,94465.96067,363842.5691,2919802.035,269376.6085,,man1,3.421679166,2.353099857,1.317038412,132.546955,5.132473777,1064.253588,2.828788907,109.1600993,152.8349382,9.613874732,90.02878692,167.8885343,20.11767112,78.9509482,123.2580336,1963.70651,686.7189165,94.46596067,363.8425691,2919.802035,269.3766085,2650.425426
ref,4794.420749,3297.138696,1845.420328,7762.417627,7191.568111,10666.63406,10063.65173,95420.58031,71615.05698,18955.78441,32234.70822,4602.219465,100063.8754,15584.31466,17508.55726,401606.348,8229.556092,44775.52311,13959.64789,379020.0289,-30815.87523,,ref,4.794420749,3.297138696,1.845420328,7.762417627,7.191568111,10.66663406,10.06365173,95.42058031,71.61505698,18.95578441,32.23470822,4.602219465,100.0638754,15.58431466,17.50855726,401.606348,8.229556092,44.77552311,13.95964789,379.0200289,-30.81587523,409.8359041
man2,9997.636848,6875.407279,3848.190061,83385.32793,14996.32387,193257.006,6284.370499,815205.7174,373131.2467,9093.037931,473073.7181,16410.97918,21594.57572,33308.34245,150174.9074,2210636.787,79438.81902,208916.6038,215215.3021,2296374.305,6298.698384,,man2,9.997636848,6.875407279,3.848190061,83.38532793,14.99632387,193.257006,6.284370499,815.2057174,373.1312467,9.093037931,473.0737181,16.41097918,21.59457572,33.30834245,150.1749074,2210.636787,79.43881902,208.9166038,215.2153021,2296.374305,6.298698384,2290.075606
man3,27908.87845,19193.02621,10742.40546,16829.13496,41862.95087,68802.90893,7173.985077,141062.1186,3088563.501,71192.87021,575454.6586,42555.11328,76800.39395,191655.127,104311.6476,4484108.72,1203299.239,814355.1539,1163948.223,6037001.028,349593.0688,,man3,27.90887845,19.19302621,10.74240546,16.82913496,41.86295087,68.80290893,7.173985077,141.0621186,3088.563501,71.19287021,575.4546586,42.55511328,76.80039395,191.655127,104.3116476,4484.10872,1203.299239,814.3551539,1163.948223,6037.001028,349.5930688,5687.407959
util,14082.35557,9684.48159,5420.439007,9659.642181,21123.34827,39580.32278,8283.992696,108834.3487,144361.1707,208778.3996,29795.86868,23027.67391,9418.266198,17930.96542,26348.04293,676329.3182,34875.52832,2558.050178,1802.313535,710449.1098,-755.7366422,,util,14.08235557,9.68448159,5.420439007,9.659642181,21.12334827,39.58032278,8.283992696,108.8343487,144.3611707,208.7783996,29.79586868,23.02767391,9.418266198,17.93096542,26.34804293,676.3293182,34.87552832,2.558050178,1.802313535,710.4491098,-0.755736642,711.2048465
cons,233.8388859,160.8117601,90.00691768,347.913447,350.7552556,834.8009904,182.3879647,1005.119045,2227.632861,336.266628,26601.14801,4915.674136,3030.165,11227.41073,24772.36971,76316.30135,2063381.824,6575.956295,8911.34807,2142033.517,2335.391775,,cons,0.233838886,0.16081176,0.090006918,0.347913447,0.350755256,0.83480099,0.182387965,1.005119045,2.227632861,0.336266628,26.60114801,4.915674136,3.030165,11.22741073,24.77236971,76.31630135,2063.381824,6.575956295,8.91134807,2142.033517,2.335391775,2139.698125
ser1,5905.866684,4061.483669,2273.226945,30272.88045,8858.722405,94680.45145,14928.87049,79746.79248,247787.5382,11592.61454,103972.1083,54147.19115,36127.28487,86434.69717,109082.9299,889872.6587,508636.5211,33562.79134,105353.5248,1470299.913,71790.73347,,ser1,5.905866684,4.061483669,2.273226945,30.27288045,8.858722405,94.68045145,14.92887049,79.74679248,247.7875382,11.59261454,103.9721083,54.14719115,36.12728487,86.43469717,109.0829299,889.8726587,508.6365211,33.56279134,105.3535248,1470.299913,71.79073347,1398.50918
tran,7518.092896,5170.216863,2893.788882,16586.98189,11277.04053,55994.17886,13843.02472,62963.32849,108560.7802,8701.679005,147408.6059,82712.97429,58138.71255,32456.52123,33810.64107,648036.5674,103111.3607,42501.9098,88759.82918,797405.8474,46257.91938,,tran,7.518092896,5.170216863,2.893788882,16.58698189,11.27704053,55.99417886,13.84302472,62.96332849,108.5607802,8.701679005,147.4086059,82.71297429,58.13871255,32.45652123,33.81064107,648.0365674,103.1113607,42.5019098,88.75982918,797.4058474,46.25791938,751.147928
ser2,7858.848309,5404.555465,3024.949037,34171.85251,11788.16917,98723.33675,5870.193557,99238.69404,246816.4486,44730.27524,103995.6599,196780.2485,66552.37566,232833.4865,120676.7611,1278465.854,703799.6008,81653.07802,80302.53131,1980914.908,-1350.546711,,ser2,7.858848309,5.404555465,3.024949037,34.17185251,11.78816917,98.72333675,5.870193557,99.23869404,246.8164486,44.73027524,103.9956599,196.7802485,66.55237566,232.8334865,120.6767611,1278.465854,703.7996008,81.65307802,80.30253131,1980.914908,-1.350546711,1982.265455
ser3,3169.161031,2179.442317,1219.841665,9902.499614,4753.699894,18033.55125,787.9005302,18732.13962,52717.15458,12312.86284,11916.14621,36509.49052,23904.37514,43005.04828,92984.80803,332128.1215,1276976.463,35544.73877,15955.37787,1589515.224,-19589.3609,,ser3,3.169161031,2.179442317,1.219841665,9.902499614,4.753699894,18.03355125,0.78790053,18.73213962,52.71715458,12.31286284,11.91614621,36.50949052,23.90437514,43.00504828,92.98480803,332.1281215,1276.976463,35.54473877,15.95537787,1589.515224,-19.5893609,1609.104585
Intmed,102322.7255,70367.6701,39385.0368,520674.6902,153482.7434,2253266.528,306686.7437,1782597.251,4825467.848,506607.4627,1641986.661,679032.5081,433584.4195,752288.3181,816327.8393,,,,,,,,Intmed,102.3227255,70.3676701,39.3850368,520.6746902,153.4827434,2253.266528,306.6867437,1782.597251,4825.467848,506.6074627,1641.986661,679.0325081,433.5844195,752.2883181,816.3278393,,,,,,,
VA,90018.78049,61906.20724,34649.12575,740375.6026,135026.9876,666535.5069,72333.28518,513777.0539,1211533.18,203841.6472,500046.8554,791267.4051,363821.4279,1228626.59,773187.3845,,,,,,,,VA,90.01878049,61.90620724,34.64912575,740.3756026,135.0269876,666.5355069,72.33328518,513.7770539,1211.53318,203.8416472,500.0468554,791.2674051,363.8214279,1228.62659,773.1873845,,,,,,,
TO,192341.506,132273.8773,74034.16256,1261050.293,288509.731,2919802.035,379020.0289,2296374.305,6037001.028,710449.1098,2142033.517,1470299.913,797405.8474,1980914.908,1589515.224,,,,,,,,TO,192.341506,132.2738773,74.03416256,1261.050293,288.509731,2919.802035,379.0200289,2296.374305,6037.001028,710.4491098,2142.033517,1470.299913,797.4058474,1980.914908,1589.515224,,,,,,,
Cap,58295.49748,40090.00265,22438.51796,38170.66003,87442.48005,430365.5059,51213.45508,350735.8747,817524.0139,152020.611,244903.7306,594639.3756,265223.6265,934780.7748,234792.9105,,,,,,,,Cap,58.29549748,40.09000265,22.43851796,38.17066003,87.44248005,430.3655059,51.21345508,350.7358747,817.5240139,152.020611,244.9037306,594.6393756,265.2236265,934.7807748,234.7929105,,,,,,,
Lab,31723.28301,21816.20459,12210.60779,702204.9425,47584.50758,236170.001,21119.83011,163041.1792,394009.1661,51821.03614,255143.1248,196628.0296,98597.80135,293845.8155,538394.4741,,,,,,,,Lab,31.72328301,21.81620459,12.21060779,702.2049425,47.58450758,236.170001,21.11983011,163.0411792,394.0091661,51.82103614,255.1431248,196.6280296,98.59780135,293.8458155,538.3944741,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,,EU,coal,crude,natgas,agr,mine,man1,ref,man2,man3,util,cons,ser1,tran,ser2,ser3,Int,fin,Imp,Exp,TO,NX,Cons
coal,159.7224477,135.0246421,169.3471022,450.4971678,384.8321085,1047.420036,4874.171416,1772.045616,8397.417203,23381.77218,205.0711621,333.7359308,83.03928696,396.0997951,480.1837366,42270.37983,6520.139053,27317.88478,1830.843707,23303.47781,-25487.04107,,coal,0.159722448,0.135024642,0.169347102,0.450497168,0.384832108,1.047420036,4.874171416,1.772045616,8.397417203,23.38177218,0.205071162,0.333735931,0.083039287,0.396099795,0.480183737,42.27037983,6.520139053,27.31788478,1.830843707,23.30347781,-25.48704107,48.79051888
crude,1.024979297,9.929949138,4.489544152,0,2.737255451,0,261998.9686,2.415369622,0,0,0,0,0,0,0,262019.5656,0,188996.1194,5029.598789,78053.045,-183966.5206,,crude,0.001024979,0.009929949,0.004489544,0,0.002737255,0,261.9989686,0.00241537,0,0,0,0,0,0,0,262.0195656,0,188.9961194,5.029598789,78.053045,-183.9665206,262.0195656
natgas,586.7650434,3846.696763,2155.078483,26.12255735,1352.483904,1228.81297,771.5889296,6539.277756,3039.220206,104588.6742,679.5989141,422.9426736,210.043575,284.7522896,334.4008845,126066.4591,6822.537399,87635.83822,3114.603326,48367.76165,-84521.23489,,natgas,0.586765043,3.846696763,2.155078483,0.026122557,1.352483904,1.22881297,0.77158893,6.539277756,3.039220206,104.5886742,0.679598914,0.422942674,0.210043575,0.28475229,0.334400885,126.0664591,6.822537399,87.63583822,3.114603326,48.36776165,-84.52123489,132.8889965
